Polyglot,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TRANSLATED_BY",,"Translated by <color=#bababa>{0}</color>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FLYING_TEXT_MISS",,"Miss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TRANSLATION_STATUS_FULL",,"<color=#cfc>Fully Translated</color> {0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TRANSLATION_STATUS_PARTIAL",,"<color=#ffc>Partially Translated</color> {0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TRANSLATION_STATUS_NONE",,"<color=#fcc>Not Supported</color> {0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DOWNLOAD_TRANSLATIONS_MODAL_TEXT",,"Allow SiraLocalizer to automatically download translation updates?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOCALIZATION_UPDATES",,"Localization Updates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHECK_FOR_UPDATES_BUTTON",,"Check for updates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHECKING_FOR_UPDATES",,"Checking for updates...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NO_UPDATE_FOUND",,"Translations are up-to-date",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DOWNLOAD_UPDATES",,"Download updates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DOWNLOADING_UPDATES",,"Downloading updates...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UPDATED_SUCCESSFULLY",,"Updated successfully",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UPDATE_FAILED",,"Update failed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AUTOMATICALLY_DOWNLOAD_UPDATES_ON_STARTUP",,"Automatically download updates on startup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
